Question,Answer
영화 장르에서 인기 있는 도서는 무엇인가요?,"영화 장르에서 인기 있는 도서는 (Lego Star Wars) character encyclopedia, (캐릭터에 숨을 불어넣는) 시나리오 작가를 위한 심리학, (거의없다의) 방구석 영화관, 엄마와 함께 고전영화 읽기:내 아이 감성 영재로 키우는 영화 이야기, 영화가 배우에게 요구하는 최소한의 것들:김수연 영화연기론, 왕가위:영화에 매혹되는 순간, 벌새:1994년, 닫히지 않은 기억의 기록, 영화관에 과학이 산다!, 영화로 더 나은 세상을 꿈꾸다, 영화로 읽는 도시 이야기 입니다."
아라비아반도 장르에서 인기 있는 도서는 무엇인가요?,"아라비아반도 장르에서 인기 있는 도서는 전쟁 말고 커피, 아! 팔레스타인, 아! 팔레스타인:만화로 보는 팔레스타인 역사, 유대인 바로보기 =Knowing Jew :감추어진 유대인 2000년 역사를 찾아서  입니다."
농업경제 장르에서 인기 있는 도서는 무엇인가요?,"농업경제 장르에서 인기 있는 도서는 계절을 팔고 있습니다 :농산물 MD의 우리 작물 이야기 , 바나나 제국의 몰락, 식량의 경제학 :식량 가격을 움직이는 7가지 요인 , 6차 산업을 디자인하라 :일본 6차 산업 희망 보고 , 곤충을 왜 먹어요?, 귀농해서 무엇을 심을까?, 농사와 디자인 입니다."
교육정책 및 행정 장르에서 인기 있는 도서는 무엇인가요?,"교육정책 및 행정 장르에서 인기 있는 도서는 초등 엄마 관계 특강:대치동 교육 전문가 샤론코치의 학부모 관계 솔루션 68 , 코로나 이후 학교의 미래 , 칼리의 프랑스 학교 이야기:질문하고 토론하고 연대하는 '프랑스 아이'의 성장비결, 2025 미래 교육 대전환:입시교육의 붕괴와 고교학점제, 특별한 교육만 살아남는다, 문재인 이후의 교육 :교육평론가 이범의 솔직하고 대담한 한국교육 쾌도난마 , 혁신교육지구 현장을 가다:혁신교육지구의 과제와 전망, 공부를 공부하다:사교육 이기는 공교육 효과, 교사119 이럴 땐 이렇게:교사에 의한 교사를 위한 교사 생존술, 훌륭한 교사는 무엇이 다른가:그들의 14가지 특성에 대한 탐구 입니다."
"종교신앙, 신앙록, 신앙(수도)생활 장르에서 인기 있는 도서는 무엇인가요?","종교신앙, 신앙록, 신앙(수도)생활 장르에서 인기 있는 도서는 위즈덤, (마음의 평안과 성공을 위한)4가지 신성한 비밀, (마음의 평안과 성공을 위한) 4가지 신성한 비밀:아름다운 마음의 혁명은 어떻게 오는가, 영혼의 책 54, 삶으로 다시 떠오르기 입니다."
지리 장르에서 인기 있는 도서는 무엇인가요?,"지리 장르에서 인기 있는 도서는 쿠키런 어드벤처:쿠키들의 신나는 세계여행, (업그레이드) 먼나라 이웃나라:시즌1, Go Go 카카오프렌즈:세계 역사 문화 체험 학습만화, Go Go 카카오 프렌즈, 쿠키런 어드벤처:쿠키들의 신 나는 세계여행, 세계 도시 대탐험:숨은그림찾기로 지구 한 바퀴, 학교 가는 길[스트리밍] , 너는 어떻게 학교에 가?, 기차 타고 부산에서 런던까지, (뉴욕에서 남극까지 그림으로 떠나는) 세계 도시 탐험 입니다."
기술천문학 장르에서 인기 있는 도서는 무엇인가요?,"기술천문학 장르에서 인기 있는 도서는 우주가 궁금해!, (초등학생이 알아야 할) 우주 100가지, 안녕, 나는 태양이야!, 움직이는 태양계, 우주와 빅뱅, 달라서 더 아름다운 우주의 별들, 전화 받은 명왕성:명왕성이 들려주는 태양계 이야기, 코스모스, 우주 덕후 사전, 우주에서 바닷속까지 똑똑한 모험책:우주에서 깊은 바닷속까지 구석구석 지구를 살피자 입니다."
형법 장르에서 인기 있는 도서는 무엇인가요?,"형법 장르에서 인기 있는 도서는 어떤 양형 이유, 흠흠신서:그 누구도 억울함이 없게 하라, 이수정 이다혜의 범죄 영화 프로파일, (미스터리 탐정 신문)역사 속 크라임씬, 한국의 프로파일링=Criminal profiling in Korea:현직 프로파일러들이 말하는 범죄 수사와 심리 분석 , 한국의 프로파일링=Criminal profiling in Korea:현직 프로파일러들이 말하는 범죄 수사와 심리 분석, 내가 살인자의 마음을 읽는 이유 :모두가 안전한 세상을 위한 권일용의 범죄심리 수업 , 서늘한 신호:무시하는 순간 당한다 느끼는 즉시 피할 것, 용서하지 않을 권리:피해자를 바라보는 적정한 시선과 태도에 관하여, 교도소에 들어가는 중입니다  입니다."
"상법, 운명판단 장르에서 인기 있는 도서는 무엇인가요?","상법, 운명판단 장르에서 인기 있는 도서는 명리심리학:사는 게 내 마음 같지 않을 때, 명리, 운명을 읽다, (잘될 운명으로 가는) 운의 알고리즘 , 꼴, 12별자리 마법의 별점, 내 팔자가 세다고요?:나답게 당당히 살고 싶은 여성들을 위한 사주명리학, 운을 만드는 집:돈·건강·관계의 흐름이 바뀌는 공간의 비밀, Dear little Aquarius, (큰글자) 돈보다 운을 벌어라:주역의 원리로 운을 경영하는 법, 긍정명리학:인생의 때를 읽는 방법 입니다."
기하학 장르에서 인기 있는 도서는 무엇인가요?,"기하학 장르에서 인기 있는 도서는 고양이 칠교놀이, 오각형 꽃, 삼각형 줄기, 육각형 눈, (원뿔에서 태어난)이차곡선 , 황금비율의 진실 :완벽을 창조하는 가장 아름다운 비율의 미스터리와 허구  입니다."
"학교행정 및 경영, 보건 장르에서 인기 있는 도서는 무엇인가요?","학교행정 및 경영, 보건 장르에서 인기 있는 도서는 학교 다녀오겠습니다!, (용감한 소방차 레이) 사라진 비콘, (용감한 소방차 레이) 위험한 알약, (초등학생이 꼭 알아야 할) 안전한 생활, 우리 학교 마순경, 조심해! 재난, 이럴 땐 이렇게!, (로보카 폴리) 병균을 조심해!:질병 예방, 기호는 재미있다, 소중한 내 몸을 위해 꼭꼭 약속해:유괴와 성폭력 예방, 십대들이여, 진로를 탐하라:4차산업혁명시대의 진로 선택과 진로 탐색 콘서트 입니다."
음료기술 장르에서 인기 있는 도서는 무엇인가요?,"음료기술 장르에서 인기 있는 도서는 (허영만의) 커피 한잔 할까요?, 초콜릿, 교토커피, 와인에 몹시 진심입니다만, :슬기로운 방구석 와인 생활 , 애주가의 대모험, 세상에 맛있는 와인이 너무 많아서:언제 마실까? 초보자를 위한 와인 추천 43, 베이식 바리스타 북=Basic barista book, 알코올과 작가들:위대한 작가들의 영혼을 사로잡은 음주열전, 와인 폴리 :당신이 궁금한 와인의 모든 것 :매그넘 에디션 , 커피 연구소:완벽한 한 잔을 위한 커피 공부 입니다."
기술사 장르에서 인기 있는 도서는 무엇인가요?,"기술사 장르에서 인기 있는 도서는 (발명과 혁신으로 읽는) 하루 10분 세계사:종이에서 로봇까지, 세상을 바꾼 기술 기술을 만든 사회, 교통수단, 교통수단:뜨거운 용암이 드론으로 이어지기까지, 바퀴는 달린다 입니다."
임상의학 장르에서 인기 있는 도서는 무엇인가요?,"임상의학 장르에서 인기 있는 도서는 (의사 노빈손과) 위기일발 응급의료센터, 다이어트 불변의 법칙:왜 야생동물은 병과 비만이 없는가?, 요가 교과서:3D 그림으로 쉽게 배우는 요가 아나토미, 일곱 살 마음 요가:프랑스 부모들이 아이와 함께하는 마음 치유 요법, 자기암시, 맥두걸 박사의 자연식물식:살 안찌고 사는 법, 하루 한끼 당뇨 밥상:당요병 최고의 명의는 건강한 밥상이다, (데굴데굴) 요가 버그, 요가 좀 합니다:일만 알던 내 몸이 요가를 부를 때, 퇴근길에 인도까지, 호흡의 기술:한평생 호흡하는 존재를 위한 숨쉬기의 과학 입니다."
역사보조학 장르에서 인기 있는 도서는 무엇인가요?,"역사보조학 장르에서 인기 있는 도서는 과거를 쫓는 탐정들 :과학은 어떻게 고고학의 수수께끼를 풀었을까? , 테라 인코그니타 =Terra incognita :고고학자 강인욱이 들려주는 미지의 역사 , 고고학의 역사:인류 역사의 발자취를 찾다, 국보를 캐는 사람들:발굴로 읽는 역사, 문명의 기억, 지도 , 세계사를 뒤흔든 발굴, 진실은 유물에 있다:고고학자, 시공을 넘어 인연을 발굴하는 사람들, 폐허에 살다:발굴해서 역사를 찾는 고고학자들 이야기 입니다."
사회단체 장르에서 인기 있는 도서는 무엇인가요?,"사회단체 장르에서 인기 있는 도서는 세계의 빈곤, 게을러서 가난한 게 아니야!, 청년 반크, 세계를 품다 =Voluntary agency network of Korea , (귀에 쏙쏙 들어오는) 국제 분쟁 이야기, (내 동생도 알아듣는) 쉬운 경제, (짜릿하고도 씁쓸한) 올림픽 이야기, (행복지수 1위) 덴마크의 비밀, 국회 의원 서민주, 바쁘다 바빠!, 대한민국의 시작은 임시 정부입니다, 동계 올림픽 완전 대백과, 세상에서 가장 슬픈 여행자, 난민 입니다."
의복 장르에서 인기 있는 도서는 무엇인가요?,"의복 장르에서 인기 있는 도서는 아름답고 놀라운 옷의 세계, (엄마와 아이가 함께 입는) 원피스 만들기 , 엄마와 아이 그리고 커플 옷, 데일리 룩 365, (꼬물꼬물 손끝놀이) 처음하는 어린이 손바느질, (쪼물딱 루씨의) 기초 코바늘 손뜨개, 패션 아이템 도감:일러스트로 보는 패션소품 용어와 특징, 퇴근 후 코바늘 손뜨개, (쉽게 만들어 입는) 핸드메이드 여성복, 매일 입고 싶은 천연소재 옷 입니다."
회화의 재료 및 방법 장르에서 인기 있는 도서는 무엇인가요?,"회화의 재료 및 방법 장르에서 인기 있는 도서는 (식물이 있는) 풍경 수채화 수업, 나의 첫 아이패드 드로잉 :누구나 쉽게 따라 그릴 수 있는 프로크리에이트 가이드 , (한 권으로 끝내는) 보타니컬 아트:가장 친절한 꽃 세밀화 수업, 오늘부터 수성펜 수채화 :물감 없이 그리는 마법 같은 그림 , 캘리 수묵일러스트 그리고 수제도장, 작고 예쁜 그림 한 장:손그림 일러스트, 감성수채화 그리기, (누구나 쉽게 따라하는) 모던 공필화, (작은 일러스트부터 풍경화까지) 즐거운 수채 시간, 윤꽃의 사계절 감성 수채화:수채화로 만나는 봄 여름 가을 겨울 손그림 일러스트, 이끌리듯 수채 캘리그라피:물빛 가득한 수채 그림과 예쁜 손글씨 입니다."
"화학실험실, 기구, 시설 장르에서 인기 있는 도서는 무엇인가요?","화학실험실, 기구, 시설 장르에서 인기 있는 도서는 비커 군과 실험실 친구들, 비커 군과 방과 후 과학실, 비커 군과 친구들의 유쾌한 화학실험:실험실에서 벌어지는 엉뚱발랄 화학실험 대소동, 비커 군과 교과서 친구들의 수상한 과학책, 비커 군과 실험실 친구들:실험기구들의 신나는 요절복통 과학수업, (테오도르 그레이의) 괴짜 과학  입니다."
공구와 제작 장르에서 인기 있는 도서는 무엇인가요?,공구와 제작 장르에서 인기 있는 도서는 물건은 어떻게 작동할까? 입니다.
"기계역학, 재료 및 설계 장르에서 인기 있는 도서는 무엇인가요?","기계역학, 재료 및 설계 장르에서 인기 있는 도서는 (건축, 인테리어 실무를 위한) 캐드 도면 설계  입니다."
식품과 식료 장르에서 인기 있는 도서는 무엇인가요?,"식품과 식료 장르에서 인기 있는 도서는 요리스타 청, 오무라이스 잼잼:경이로운 일상음식 이야기, (초등학생이 알아야 할) 음식 100가지, (백종원의)도전 요리왕, (열 반찬 부럽지 않은) 한 그릇 식사, 1등 엄마의 맛있는 매일 밥상, (식감이 살아있는) 스콘&비스킷, 백종원이 추천하는 집밥 메뉴 54, 수미네 반찬:김수미표 는둥만둥 레시피북, (재료 손질부터 인기 반찬까지 소소하고 정갈한) 일본식 집밥 레시피 100 입니다."
세포학(세포생물학) 장르에서 인기 있는 도서는 무엇인가요?,"세포학(세포생물학) 장르에서 인기 있는 도서는 위대한 세포, 이중나선:생명에 대한 호기심으로 DNA구조를 발견한 이야기 , DNA, 더블댄스에 빠지다, 세포, 열심히 일하는 세포, 왓슨의 이중나선:생명의 비밀을 엿보다, 위대한 세포:노벨상을 받은 놀라운 발견들 입니다."
비교종교학 장르에서 인기 있는 도서는 무엇인가요?,"비교종교학 장르에서 인기 있는 도서는 (신의 실체에서 종교 전쟁까지) 종교란 무엇인가 =What is religion? , 종교, 이제는 깨달음이다 :오강남·성해영 대담집 , 지도에서 사라진 종교들:잊혀지는 신앙과 사라진 신들의 역사 입니다."
시대별 및 국별 회화 장르에서 인기 있는 도서는 무엇인가요?,"시대별 및 국별 회화 장르에서 인기 있는 도서는 세상에서 가장 무서운 호랑이:김홍도의 송하맹호도, (한눈에 반한) 우리 미술관:풍속화에서 사군자까지, 고흐, 영혼을 위로하다, 드가의 산책, 프랑스가 사랑한 세계에서 가장 아름다운 10가지 그림, 쿠사마 야요이:점, 무한의 세계, (진짜 여행보다 재미있는) 세계 명화 여행:고양이 미나와 함께 떠나요!, 모네의 정원에서, 로이네 집, 고흐, 인간을 그리다 입니다."
"어류, 양서류, 파충류 장르에서 인기 있는 도서는 무엇인가요?","어류, 양서류, 파충류 장르에서 인기 있는 도서는 상어가 참 좋아!:지금껏 몰랐던 상어의 모든 것, 바다거북, 생명의 여행[스트리밍], 생선의 발견, 정약전과 자산어보, (같을까? 다를까?) 개구리와 도롱뇽[스트리밍], 상어가 사라진다면, 개구리 도롱뇽 그리고 뱀 일기, (생물인 정브르의)신기한 파충류 도감, 최강 파충류 선발 대회, 물고기는 어디에나 있지 입니다."
영국철학 장르에서 인기 있는 도서는 무엇인가요?,"영국철학 장르에서 인기 있는 도서는 공리주의 입문, 철학적 탐구 입니다."
"유체공학, 기력학, 진공학 장르에서 인기 있는 도서는 무엇인가요?","유체공학, 기력학, 진공학 장르에서 인기 있는 도서는 이렇게 흘러가는 세상:영화부터 스포츠까지 유체역학으로 바라본 세계 입니다."
역사 장르에서 인기 있는 도서는 무엇인가요?,"역사 장르에서 인기 있는 도서는 10대에게 권하는 역사, 역사의 역사, 퀴즈 지식 사냥:역사★지리 외 입니다."
르포르타주 및 기타 장르에서 인기 있는 도서는 무엇인가요?,"르포르타주 및 기타 장르에서 인기 있는 도서는 쌍갑포차, 유미의 세포들, 오늘도 사랑스럽개, 마음의 소리 레전드 100, (우리집에서) 밥 먹고 갈래요?, 닥터 프로스트=Dr. Frost:이종범 만화, 나빌레라, 있으려나 서점, 개를 낳았다:만남부터 이별까지, 신과 함께:알라딘 특별한정판 입니다."
종파 장르에서 인기 있는 도서는 무엇인가요?,"종파 장르에서 인기 있는 도서는 선 철학 이야기 100 :초월과 공명의 철학 , 선禪의 단맛을 보라 :생사를 넘나드는 선사들의 법거량  입니다."
"판본, 제본, 출판 장르에서 인기 있는 도서는 무엇인가요?","판본, 제본, 출판 장르에서 인기 있는 도서는 그 집에 책이 산다:둘둘 말까 꿰맬까 책의 역사[스트리밍], (방과후) 어린이 북아트 , 전자책 출판가이드 :ePUB & AppBook 제작에서 프로모션까지 , 전자책의 충격 , 메이킹 북스:런던북아트센터에서 배우는 12가지 핸드크래프트 북바인딩, 김나래의 어린이 북아트, 세상에서 가장 아름다운 책:중세 역사와 예술이 응축된 지상 최고의 걸작, 채색 필사본, 책과 인쇄의 역사, 책쓰기의 모든것 :당신의 가치를 완성하는 평생현역프로젝트 , 책의 미래 =Future of the book :파피루스에서 e-book까지 진화의 시간  입니다."
"자연종교, 자연신학 장르에서 인기 있는 도서는 무엇인가요?","자연종교, 자연신학 장르에서 인기 있는 도서는 신, 만들어진 위험:신의 존재를 의심하는 당신에게 , (생명과 우주에 대한) 과학과 종교 논쟁, 최근 50년:빅뱅에서 지적 설계까지, 나는 착각일 뿐이다:과학자의 언어로 말하는 영성과 자아, 무신론의 심리학:아버지 부재와 무신론 신앙, 블립 :일상의 현실을 바꾸는 무한한 가능성의 발견 , 인간들은 왜 신을 두고 싸우는가?:철학자가 들려주는 신과 종교 이야기 입니다."
한자의 서체 장르에서 인기 있는 도서는 무엇인가요?,한자의 서체 장르에서 인기 있는 도서는 와인이 있는 100가지 장면 :영화 속 와인 안내서  입니다.
가정윤리 장르에서 인기 있는 도서는 무엇인가요?,"가정윤리 장르에서 인기 있는 도서는 (선생님이 들려 주는)효 이야기, 한국의 효사상과 인성교육 입니다."
"문학사, 평론 장르에서 인기 있는 도서는 무엇인가요?","문학사, 평론 장르에서 인기 있는 도서는 좋아하는 거장의 문장 하나쯤, 한국 작가가 읽은 세계문학 , 문학에 빠져 죽지 않기:로쟈의 문학 읽기 2012-2020, 유대인을 만든 책들:유대인 고전 18선, 우리는 지금 문학이 필요하다 :문학 작품에 숨겨진 25가지 발명품 , 책장 속 티타임, (현실 너머를 밝혀주는) 판타지 동화를 읽습니다, 모든 운동은 책에 기초한다, 문학하는 마음:""나에 대해 계속 알아가는 느낌이 들어요"":김필균 인터뷰집, 거짓말하는 어른:김가은 평론집 입니다."
"축제, 연중행사 장르에서 인기 있는 도서는 무엇인가요?","축제, 연중행사 장르에서 인기 있는 도서는 놀면서 배우는 세계 축제, 명절 속에 숨은 우리 과학, (먹고 놀고 즐기는) 열두 달 기념일, (봄 여름 가을 겨울) 그림으로 만나는 사계절 24절기, 열두 달 세시 풍속 이야기, 대한이는 왜 소한이네 집에 갔을까?, 12달 수수께끼 12띠 숨은그림찾기:12간지 4대명절 24절기, 오늘은 왜 쉬어요 :달력 속 빨간 날의 비밀 , 우리 우리 설날은 , 초등학생이 알아야 할 국경일 기념일 50 입니다."
예의작법 장르에서 인기 있는 도서는 무엇인가요?,"예의작법 장르에서 인기 있는 도서는 초등생활 매너백서:생방송 톡!톡! 보니하니:초등학생 필수 매너 총집합, 초등생활 매너백서:생방송 톡톡 보니하니, 밥, 예쁘게 먹겠습니다!, 무례한 시대를 품위 있게 건너는 법:차별과 배제, 혐오의 시대를 살아내기 위하여, 태도의 품격:왜 최고의 조직은 태도에 집중하는가, 내 말 한마디, (EBS) 초등생활 매너백서:톡!톡! 보니 하니, 화장실에서 지켜야 할 11가지 에티켓 , (무개념 인간들 예의 바르게 한 방 먹이는)회사생활예절, (예의 없는 새끼들 때문에 열받아서 쓴) 생활 예절 입니다."
"문법, 어법 장르에서 인기 있는 도서는 무엇인가요?","문법, 어법 장르에서 인기 있는 도서는 일본어 문법의 정석 , (16가지 문법 테마를 만화로 배우는) 대한민국에서 가장 재밌는 fun fun 일본어 문법, (바로 꺼내 쓰는) 일본어 경어, (버전업!) 35일 완성 일본어 문법, (하룻밤에 보는) 일문법 =One night Japanese grammar , 일본어문법 달인이 되는 법=Grammar 입니다."
쌍자엽식물 장르에서 인기 있는 도서는 무엇인가요?,"쌍자엽식물 장르에서 인기 있는 도서는 감자, 방긋 웃는 도둑게야, 내 이름은 파리지옥 , 참나무는 참 좋다! , (우리 숲을 지키는) 도토리 나무 육형제 입니다."
건축술 장르에서 인기 있는 도서는 무엇인가요?,"건축술 장르에서 인기 있는 도서는 오래된 것들은 다 아름답다 :승효상의 건축여행 , 피라미드=Pyramid, 공부가 되는 세계의 건축 , (구조 속에 담긴 과학의 원리가)재미있는 건축물 이야기:유명한 세계적 건축물을 찾아 떠나는 건축 여행, (어린이를 위한)유쾌한 세계 건축 여행:역사·문화·인물·과학 모든 것이 담긴 대표 건축물, 건축가들의 집을 거닐어요, 나, 건축가 안도 다다오 :한줄기 희망의 빛으로 세상을 지어라 , 높이 솟은 마천루에 올라요, 서울 건축 만담:두 남자, 일상의 건축을 이야기하다, 인문학으로 읽는 건축 이야기  입니다."
작문 장르에서 인기 있는 도서는 무엇인가요?,"작문 장르에서 인기 있는 도서는 (중고등 내신을 위해 초등에서 반드시 준비해야 할) 초등 완성 영어 글쓰기 로드맵 , (딸딸 외우고픈) 감동영어 101 , 말하기 영작문 트레이닝 =Making English sentences for speaking , 미국식 영작문 수업 :기본 문형으로 익히는 영작의 기술 , 영작문 핵심패턴 233 , (차근차근)스피킹이 되는 영작문, 구글 라이팅 =Google writing , 초급 영어일기 표현사전  입니다."
국가와 개인 및 집단 장르에서 인기 있는 도서는 무엇인가요?,"국가와 개인 및 집단 장르에서 인기 있는 도서는 평등 씨는 공평해!, 선량한 차별주의자, 나는 놀고 창조하고 상상할 권리가 있어요!:그림으로 보는 유엔 아동권리협약, 딸 인권 선언[스트리밍], 엄마 인권 선언[스트리밍], 자유가 뭐예요?, 자유론, (세상의 모든 아이들을 위한) 인권 사전, 나도 권리가 있어요! , 다른 사람은 있어도, 틀린 사람은 없어! 입니다."
북아메리카지리 장르에서 인기 있는 도서는 무엇인가요?,"북아메리카지리 장르에서 인기 있는 도서는 (호시노 미치오의) 알래스카 이야기, (열두 살에 떠나는) 미국 국립 공원 여행, 이번 달은 뉴요커:60만 유튜버 홍세림의 뉴욕 한 달 살기, 나를 부르는 숲, 디스 이즈 뉴욕, 우당탕탕 엄마의 캠핑카:미대륙 9,000킬로미터 세 남매 성장기, (나의 첫 자유여행) 뉴욕, (아이들과 캠핑카로 누빈) 미국 서부 캐나다 핫스팟 :캠핑카, 크루즈 꿀팁과 함께 , 캐나다워킹홀리데이의 오십가지 순간:2017-18／365일의 기록, 살아보고 싶다면, 포클랜드:풍요로운 자연과 세련된 도시의 삶이 공존하는 곳 포틀랜드 라이프 스토리 입니다."
공업화학약품 장르에서 인기 있는 도서는 무엇인가요?,공업화학약품 장르에서 인기 있는 도서는 우리는 매일 독을 마시고 있다 입니다.
인도-유럽계문학 장르에서 인기 있는 도서는 무엇인가요?,"인도-유럽계문학 장르에서 인기 있는 도서는 (엄마 아빠가 읽었던) 지혜 쑥쑥 이솝이야기, 그 다리 아니야, 빌리!, 사람은 무엇으로 사는가, 엄마, 우리는 왜 울어요?, 죄와 벌:표도르 도스토옙스키 장편소설, 구름책, 발가락:잠들기 전에 떠나는 상상 여행, 코코의 이상한 하루, 손으로 보는 아이, 카밀, 씩씩한 엄마 달콤한 아빠 입니다."
"신앙록, 명상록, 신앙생활 장르에서 인기 있는 도서는 무엇인가요?","신앙록, 명상록, 신앙생활 장르에서 인기 있는 도서는 완벽한 부모는 없다:힘겨운 자녀양육을 축복으로 바꾸는 원리, 가치 있는 것들에 대한 태도 , 부모 면허 :주님이 맡기신 한 영혼을 그분의 뜻대로 빚어가는 삶 , Jesus calling:365 devotions for kids, 내 마음은 전쟁터, 크리스천 학부모와 자녀가 꼭 알아야 할 25가지 문제, 하나님이 기뻐하시는 자녀교육 , 광야의 선물:요르단 이스라엘 방문기:2019년 1월 7일-1월 16일 사이, 예수님이 우리 집에 오신다면 , 깨어있음:지금 이 순간에 대한 탐구 입니다."
민간전승 장르에서 인기 있는 도서는 무엇인가요?,"민간전승 장르에서 인기 있는 도서는 (읽으면서 바로 써먹는) 어린이 속담, (읽으면서 바로 써먹는) 어린이 수수께끼, 고래 대 새우:고래 싸움에 새우 등 터진다[스트리밍], (교과서에 나오는) 알쏭달쏭 수수께끼, 용감한 강아지, 우물 안 개구리[스트리밍], 내가 최고야:뛰는 놈 위에 나는 놈 있다, 여우 굴 괴물, 딱 한 번만이야[스트리밍], 뱁새의 꿈:뱁새가 황새를 따라가면 다리가 찢어진다 입니다."
전기통신 장르에서 인기 있는 도서는 무엇인가요?,"전기통신 장르에서 인기 있는 도서는 내 휴대폰 속의 슈퍼 스파이:스마트한 만큼 오싹해진다, 내 휴대폰 속의 슈퍼 스파이:스마트해질수록 오싹해진다, (지상 최대의) 과학 사기극:알렉산더 그레이엄 벨의 모략과 음모로 가득 찬 범죄 노트 입니다."
"프랑스, 네덜란드철학 장르에서 인기 있는 도서는 무엇인가요?","프랑스, 네덜란드철학 장르에서 인기 있는 도서는 담론의 질서, 타자성과 초월, 들뢰즈, 괴물의 사유, 참된 삶, 검은색:무색의 섬광들, 존재와 무, 프랑스 대혁명의 철학, 걷기 두 발로 사유하는 철학, 나는 루소를 읽는다 :자유와 평등, 다시 시대의 광장에 서다 , 너무 움직이지 마라:질 들뢰즈와 생성변화의 철학 입니다."
"연설, 웅변 장르에서 인기 있는 도서는 무엇인가요?","연설, 웅변 장르에서 인기 있는 도서는 박완서의 말:소박한 개인주의자의 인터뷰, 수리부엉이는 황혼에 날아오른다, 오에 겐자부로의 말:후루이 요시키치 대담, 엔도 슈사쿠의 문학 강의, 안으로 멀리뛰기, 세상에서 가장 가난한 대통령 무히카의 꿈 입니다."
"총서, 전집, 선집 장르에서 인기 있는 도서는 무엇인가요?","총서, 전집, 선집 장르에서 인기 있는 도서는 온 세상 국기가 펄럭펄럭, 가족은 꼬옥 안아 주는 거야, 도둑 누스토, (오, 필승!) 월드컵 축구 대백과, 독재란 이런 거예요, 오스발도의 행복 여행, 오줌에 관한 책, 코피 아난 아저씨네 푸드 트럭, 밤을 지키는 사람들, 제러미 벤담 아저씨네 야생동물 구조센터 입니다."
목구조 장르에서 인기 있는 도서는 무엇인가요?,"목구조 장르에서 인기 있는 도서는 살둔 제로에너지하우스 , 패시브하우스 콘서트=Passive house concert 입니다."
일반 도서관 장르에서 인기 있는 도서는 무엇인가요?,"일반 도서관 장르에서 인기 있는 도서는 나는 도서관입니다 , 만날 이용하면서도 몰랐던 도서관 이야기, 뉴욕도서관으로 온 엉뚱한 질문들, 노는 도서관 배우는 도서관 , 도서관의 삶, 책들의 운명, 우리가 몰랐던 세상의 도서관들:책과 인간이 함께한 길을 찾아서, 도서관 생태 마을에 삽니다:사람 중심의 공공도서관 이야기, 도서관 여행하는 법, 사서 빠뜨:작은 관계의 기적, 백만의 어린이를 읽게 한 힘!, 세계 꿈의 도서관:죽기 전에 꼭 가봐야 할 아른다운 지식의 유산 입니다."
중국어 장르에서 인기 있는 도서는 무엇인가요?,"중국어 장르에서 인기 있는 도서는 티엔티엔 중국어, (EBS 송지현 교수가 뽑은) 중국어 동요, (마카오항공, 대한항공 출신 스튜어디스가 쉽게 알려 주는)직장인 중국어 공부법, 나혼자 끝내는 중국어 첫걸음, 비즈니스 중국어 무작정 따라하기 , 신나는 중국어 첫걸음:이런 책은 처음이다! 입니다."
영어 장르에서 인기 있는 도서는 무엇인가요?,"영어 장르에서 인기 있는 도서는 이시원의 영어 대모험, 이시원의 영어 대모험:만화로 시작하는 이시원표 초등영어, 엄마표 세마디 생활영어:그림과 챈트로 영어 말문트기, 아이표 영어:짐이 아닌 힘이 되는 우리 아이 영어 공부, 영어 읽기 천재가 되다!, (영어 앞에서 당당한 아이를 만드는 새벽달의) 엄마표 영어 17년 보고서, 초등 필수 백과사전, (혼자서 원서 읽기가 되는) 영어 그림책 공부법, 영어, 10살에 시작해도 될까요?:아이가 즐거워하는 영어 습관 만들기 , 영어 1등급은 이렇게 공부한다 입니다."
남아메리카(남미) 장르에서 인기 있는 도서는 무엇인가요?,"남아메리카(남미) 장르에서 인기 있는 도서는 라틴아메리카는 처음인가요?, 라틴아메리카의 역사 입니다."
생물지리학 장르에서 인기 있는 도서는 무엇인가요?,"생물지리학 장르에서 인기 있는 도서는 바다 생물과 생태, 플랑크톤의 비밀:지구를 지키는 작은 생명체, 보물섬 독도네 가족들, 시북:우리가 지켜야 할 바다와 바닷속 생물 이야기, 199 바닷속 생물, 바다의 비밀:숨겨진 세계의 발견, 친애하는 인간에게, 물고기 올림:물고기 박사 황선도의 현대판 자산어보, 땅속 생물 이야기, (아주 특별한 땅) DMZ의 비밀, 35억 년 전 세상 그대로 입니다."
오스트로네시아문학 장르에서 인기 있는 도서는 무엇인가요?,"오스트로네시아문학 장르에서 인기 있는 도서는 메기 이야기, 망고의 두 얼굴, 빨간 나무, 캄펑의 개구쟁이 입니다."
내과학 장르에서 인기 있는 도서는 무엇인가요?,"내과학 장르에서 인기 있는 도서는 알레르기에서 살아남기=Survival in allergy, 똥이 안 나와요, 전염병, 알면 이겨요! 코로나19 바이러스, 장이 건강하면 우울증 불면증 당뇨병 고혈압 아토피가 치유된다, 나는 내가 왜 살아야 하는지 몰랐습니다, 아내를 모자로 착각한 남자, 궁금해요 코로나19:어린이가 묻고 전문가가 답해요, 기적의 장 스트레칭:쾌변 X 바디 리프팅 X 다이어트를 한 번에, 몸이 되살아나는 장 습관:대장암 최고 권위자가 전하는 한국인 장 건강의 모든 것 입니다."
